fpr_per_h,event_sensitivity
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.011845612187818762,0.01282051282051282
0.023691224375637525,0.01282051282051282
0.0947648975025501,0.05128205128205128
0.1658385706294627,0.07692307692307693
0.21322101938073773,0.15384615384615385
0.3790595900102004,0.16666666666666666
0.5804349972031194,0.2564102564102564
0.8884209140864072,0.3076923076923077
0.9594945872133198,0.41025641025641024
1.0779507090915075,0.5256410256410257
1.208252443157514,0.6282051282051282
1.4214734625382517,0.6666666666666666
1.599157645355533,0.6794871794871795
1.7057681550459018,0.6666666666666666
1.8716067256753646,0.6794871794871795
1.9782172353657335,0.717948717948718
2.0137540719291898,0.7564102564102564
2.096673357243921,0.7051282051282052
2.10851896943174,0.7051282051282052
2.1322101938073774,0.7307692307692307
2.144055805995196,0.7307692307692307
2.144055805995196,0.7307692307692307
2.144055805995196,0.7307692307692307
2.144055805995196,0.7307692307692307
2.155901418183015,0.717948717948718
2.155901418183015,0.717948717948718
2.155901418183015,0.717948717948718
2.155901418183015,0.717948717948718
2.155901418183015,0.717948717948718
2.155901418183015,0.717948717948718
2.155901418183015,0.717948717948718
2.155901418183015,0.717948717948718
