patient_id,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,alarm_K,alarm_M,refractory_windows,n_preictal,n_interictal,mode
chb01,0.4916,0.1645,0.0034,0.9966,0.1667,0.0066,0.5,1.2162,0.5,5,12,180,296,1480,stratified
chb02,0.5017,0.1671,0.0034,0.9966,0.1667,0.0066,0.5,1.2162,0.5,5,12,180,296,1480,stratified
chb03,0.4865,0.1634,0.0,0.9959,0.0,0.0,0.498,1.4595,0.5,5,12,180,444,2220,stratified
chb04,0.5236,0.1747,0.0068,0.9966,0.2857,0.0132,0.5017,1.2162,0.5,5,12,180,296,1480,stratified
chb05,0.4984,0.1662,0.0045,0.9968,0.2222,0.0088,0.5007,1.1351,0.5,5,12,180,444,2220,stratified
chb06,0.4811,0.1674,0.0019,0.9964,0.1,0.0038,0.4992,1.296,0.5,5,12,180,1037,5000,stratified
chb07,0.4881,0.1638,0.0,0.996,0.0,0.0,0.498,1.4562,0.5,5,12,180,445,2225,stratified
chb08,0.5067,0.1687,0.0013,0.9962,0.0667,0.0026,0.4988,1.3603,0.5,5,12,180,741,3705,stratified
chb09,0.5029,0.1675,0.0017,0.9959,0.0769,0.0033,0.4988,1.4595,0.5,5,12,180,592,2960,stratified
chb10,0.5108,0.17,0.0056,0.9966,0.25,0.011,0.5011,1.2162,0.5,5,12,180,888,4440,stratified
chb13,0.4908,0.1643,0.0045,0.9968,0.2222,0.0088,0.5007,1.1351,0.5,5,12,180,444,2220,stratified
chb14,0.5058,0.1684,0.0039,0.9964,0.1765,0.0076,0.5001,1.3023,0.5,5,12,180,774,3870,stratified
chb15,0.5119,0.1703,0.0,0.9962,0.0,0.0,0.4981,1.35,0.5,5,12,180,320,1600,stratified
chb16,0.4971,0.1659,0.0029,0.9965,0.1429,0.0056,0.4997,1.245,0.5,5,12,180,347,1735,stratified
chb17,0.4917,0.1646,0.0,0.9973,0.0,0.0,0.4986,0.973,0.5,5,12,180,444,2220,stratified
chb18,0.5007,0.1669,0.0034,0.9966,0.1667,0.0066,0.5,1.2162,0.5,5,12,180,592,2960,stratified
chb19,0.5196,0.1732,0.0034,0.9973,0.2,0.0066,0.5003,0.973,0.5,5,12,180,296,1480,stratified
chb20,0.5041,0.1678,0.0027,0.9962,0.125,0.0053,0.4995,1.3659,0.5,5,12,180,369,1845,stratified
chb22,0.4932,0.1649,0.0068,0.998,0.4,0.0133,0.5024,0.7297,0.5,5,12,180,296,1480,stratified
chb23,0.4844,0.163,0.0033,0.9964,0.1538,0.0064,0.4998,1.3026,0.5,5,12,180,608,3040,stratified
chb24,0.5004,0.1784,0.0032,0.9965,0.1667,0.0063,0.4999,1.248,0.5,5,12,180,939,4327,stratified
