patient,mode,auc,auc_pr,sens_window,fpr_h_window,sens_alarm,fpr_h_alarm
chb01,uniform,0.5064,0.1845,0.47635135135135137,176.5945945945946,0.0068,1.9459
chb02,uniform,0.4838,0.1651,0.4527027027027027,180.972972972973,0.0068,1.9459
chb03,uniform,0.4965,0.1648,0.49774774774774777,181.2972972972973,0.0023,2.2703
chb04,uniform,0.5084,0.1746,0.4966216216216216,175.86486486486487,0.0034,2.1892
chb05,uniform,0.5065,0.1742,0.5225225225225225,190.05405405405403,0.0068,1.9459
chb06,uniform,0.4918,0.1701,0.4879459980713597,180.936,0.0068,1.944
chb07,uniform,0.5204,0.171,0.5056179775280899,175.5505617977528,0.0067,1.9416
chb08,uniform,0.5001,0.1724,0.50472334682861,179.0769230769231,0.0067,1.9433
chb09,uniform,0.4876,0.1592,0.4780405405405405,177.32432432432435,0.0034,2.1892
chb10,uniform,0.5109,0.1751,0.5078828828828829,178.54054054054052,0.0056,2.027
chb13,uniform,0.5139,0.168,0.5247747747747747,173.83783783783784,0.0068,1.9459
chb14,uniform,0.5062,0.1719,0.5103359173126615,176.93023255813952,0.0052,2.0465
chb15,uniform,0.5273,0.1773,0.55,181.125,0.0031,2.25
chb16,uniform,0.4783,0.1574,0.45244956772334294,178.44380403458212,0.0058,2.0749
chb17,uniform,0.4878,0.1687,0.46846846846846846,177.08108108108107,0.0045,2.1081
chb18,uniform,0.5037,0.1708,0.5067567567567568,177.93243243243245,0.0051,2.0676
chb19,uniform,0.5141,0.1678,0.5,185.10810810810813,0.0068,1.9459
chb20,uniform,0.5093,0.171,0.5311653116531165,181.46341463414635,0.0054,2.1463
chb22,uniform,0.5116,0.1823,0.5067567567567568,173.6756756756757,0.0068,1.9459
chb23,uniform,0.5231,0.1738,0.5148026315789473,172.30263157894737,0.0066,1.8947
chb24,uniform,0.5065,0.1837,0.5260915867944622,183.36954009706494,0.0032,2.1632
