experiment,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,auc_std,auc_pr_std,sensitivity_std,specificity_std,precision_std,f1_std,balanced_accuracy_std,fpr_per_hour_std
SVM,0.5664,0.4016,0.6199,0.5378,0.3735,0.4401,0.5789,166.3769,0.1105,0.1535,0.3024,0.2763,0.1875,0.2102,0.0646,99.4601
LR,0.5502,0.3895,0.4981,0.6336,0.3816,0.3734,0.5658,131.8977,0.1046,0.1538,0.3159,0.2649,0.1948,0.222,0.0607,95.3622
LR_theta,0.5349,0.3783,0.6182,0.4953,0.3865,0.4396,0.5567,181.7087,0.0898,0.1395,0.3103,0.3211,0.156,0.1857,0.0468,115.5907
XGB,0.5331,0.3779,0.5626,0.5525,0.3857,0.3854,0.5575,161.1154,0.1067,0.1482,0.322,0.3055,0.1745,0.1991,0.0527,109.9722
LR_delta,0.5261,0.373,0.6604,0.4437,0.4284,0.428,0.552,200.2821,0.0944,0.1497,0.3243,0.3553,0.2055,0.1626,0.0497,127.9014
XGB_theta,0.5216,0.3652,0.5804,0.5005,0.346,0.3586,0.5404,179.8114,0.0672,0.1346,0.3389,0.3271,0.188,0.1814,0.0317,117.7385
LR_beta,0.4985,0.3628,0.5359,0.5525,0.424,0.386,0.5442,161.1029,0.0831,0.1485,0.3237,0.347,0.1611,0.1568,0.038,124.9273
XGB_beta,0.513,0.3613,0.5572,0.5293,0.3974,0.403,0.5433,169.4465,0.0848,0.1351,0.3274,0.3357,0.1265,0.1813,0.0423,120.8389
RF,0.5006,0.3591,0.5198,0.589,0.3976,0.3624,0.5544,147.9584,0.1194,0.1477,0.3889,0.3622,0.2054,0.2431,0.0547,130.3846
XGB_delta,0.4913,0.3487,0.5992,0.4691,0.3883,0.3843,0.5342,191.1196,0.0824,0.137,0.3683,0.3735,0.1868,0.2105,0.0418,134.4726
XGB_alpha,0.4871,0.3452,0.5736,0.4957,0.3857,0.3469,0.5346,181.5607,0.0896,0.1517,0.3625,0.361,0.1977,0.1955,0.0371,129.9677
LR_alpha,0.4822,0.3446,0.5685,0.495,0.421,0.369,0.5317,181.8161,0.0822,0.1278,0.3721,0.3824,0.1995,0.1846,0.0312,137.6555
