auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,patient
0.6688537621517371,0.36941025379419834,0.5371621621621622,0.7405978784956606,0.37149532710280375,0.43922651933701656,0.6388800203289113,93.3847637415622,chb01
0.45714741289962535,0.4549811685264392,0.04054054054054054,0.9823008849557522,0.6666666666666666,0.07643312101910829,0.5114207127481464,6.371681415929204,chb02
0.5638647546322741,0.4330726778666825,0.30855855855855857,0.8242491657397107,0.46440677966101696,0.37077131258457374,0.5664038621491346,63.270300333704114,chb03
0.3267211468224982,0.11934423713814615,0.9831081081081081,0.0222972972972973,0.167433831990794,0.28613569321533927,0.5027027027027027,351.972972972973,chb04
0.524902479799387,0.46590017381106735,0.3761261261261261,0.7027491408934707,0.49117647058823527,0.42602040816326525,0.5394376335097985,107.01030927835052,chb05
0.5379537126325941,0.18732368480205167,0.5863066538090647,0.4838,0.19065537786139855,0.28774254614292477,0.5350533269045323,185.832,chb06
0.5907890417876531,0.207049133405099,0.6764044943820224,0.47415730337078654,0.20462270564242013,0.31419624217118997,0.5752808988764044,189.30337078651687,chb07
0.5078184317731784,0.6027030579198088,0.3684210526315789,0.708411214953271,0.6363636363636364,0.4666666666666667,0.5384161337924249,104.97196261682242,chb08
0.4106183447005948,0.17415941584091593,0.9679054054054054,0.04616763783056925,0.21214365049981487,0.34801093228059515,0.5070365216179873,343.3796503809951,chb09
0.5710937913746535,0.2773221853072616,0.4988738738738739,0.6966035271064663,0.3228862973760933,0.39203539823008854,0.5977387004901701,109.2227302416721,chb10
0.5847745845105929,0.4129083106500127,0.3716216216216216,0.764519535374868,0.4252577319587629,0.39663461538461536,0.5680705784982448,84.77296726504751,chb13
0.5690245948192532,0.6079460376916197,0.3772609819121447,0.7540029112081513,0.6334056399132321,0.47287449392712544,0.565631946560148,88.5589519650655,chb14
0.44425000000000003,0.19632567066502915,0.153125,0.93,0.30434782608695654,0.20374220374220375,0.5415625000000001,25.2,chb15
0.3414664086841136,0.32711717297448806,0.0,1.0,0.0,0.0,0.5,0.0,chb16
0.4206257038288288,0.479533796107749,0.0,1.0,0.0,0.0,0.5,0.0,chb17
0.4536427521942543,0.4137748613170358,0.9290540540540541,0.08583690987124463,0.4625735912531539,0.617630544637844,0.5074454819626494,329.09871244635195,chb18
0.3991820768136558,0.3172978938477372,0.956081081081081,0.06526315789473684,0.3892709766162311,0.5532746823069404,0.5106721194879089,336.5052631578947,chb19
0.5583009748007928,0.45361219606914455,0.6395663956639567,0.4925373134328358,0.4645669291338583,0.5381984036488028,0.5660518545483962,182.6865671641791,chb20
0.4459196038143407,0.3418396095375701,0.0033783783783783786,1.0,1.0,0.006734006734006735,0.5016891891891891,0.0,chb22
0.486050679792825,0.30093834373796724,0.881578947368421,0.13675832127351664,0.3100057836899942,0.45870774497218647,0.5091686343209688,310.767004341534,chb23
0.466609877086606,0.4101324290868211,0.1554845580404686,0.9608076009501187,0.6886792452830188,0.2536924413553432,0.5581460794952937,14.109263657957245,chb24
0.4919,0.3597,0.4672,0.6129,0.4003,0.329,0.54,139.3533,MEAN
0.0874,0.1348,0.3409,0.3507,0.241,0.1838,0.0377,126.2691,STD
