label,mean_acc,std_acc,chance,multiple_of_chance,channel,ch_idx
P3-O1,0.8219047619047619,0.009965928350693529,0.047619047619047616,17.26,P3-O1,7
C4-P4,0.8192063492063492,0.011223917161691244,0.047619047619047616,17.203333333333333,C4-P4,10
CZ-PZ,0.8169841269841269,0.007225274080470548,0.047619047619047616,17.156666666666666,CZ-PZ,17
FZ-CZ,0.8152380952380952,0.009499970163457092,0.047619047619047616,17.12,FZ-CZ,16
F3-C3,0.8144444444444444,0.011756751864851546,0.047619047619047616,17.10333333333333,F3-C3,5
P4-O2,0.8125396825396827,0.003527954090617941,0.047619047619047616,17.063333333333336,P4-O2,11
C3-P3,0.8084126984126984,0.00499937007873766,0.047619047619047616,16.976666666666667,C3-P3,6
P7-O1,0.8015873015873015,0.008748897637790966,0.047619047619047616,16.833333333333332,P7-O1,3
FP1-F3,0.7844444444444445,0.014202579973503247,0.047619047619047616,16.473333333333336,FP1-F3,4
F4-C4,0.7814285714285715,0.007509127728580851,0.047619047619047616,16.41,F4-C4,9
P8-O2,0.7646031746031746,0.005638831640740156,0.047619047619047616,16.05666666666667,P8-O2,15
FP2-F4,0.7436507936507937,0.007002141269877118,0.047619047619047616,15.616666666666667,FP2-F4,8
T7-P7,0.7401587301587301,0.013164080708962108,0.047619047619047616,15.543333333333333,T7-P7,2
FP1-F7,0.7398412698412699,0.008600772815329605,0.047619047619047616,15.536666666666667,FP1-F7,0
F8-T8,0.7377777777777776,0.013106536732281225,0.047619047619047616,15.49333333333333,F8-T8,13
F7-T7,0.7325396825396826,0.008886053969700611,0.047619047619047616,15.383333333333335,F7-T7,1
FP2-F8,0.707936507936508,0.00157134840263676,0.047619047619047616,14.866666666666667,FP2-F8,12
T8-P8,0.7025396825396827,0.006416312041716772,0.047619047619047616,14.753333333333336,T8-P8,14
